User Name,Book Title,Book Author,Genre,Sub-Genre
NJ_Luna,The Lost Metal,Brandon Sanderson,Fiction,Fantasy
NJ_Luna,1984,George Orwell,Fiction,Dystopian
NJ_Luna,Dungeon Crawler Carl,Matt Dinniman,Fiction,Literary Fiction
NJ_Luna,Shadow Rising,Robert Jordan,Fiction,Fantasy
HappyZen,How High We Go In the Dark,Sequoia Nagamatsu,Fiction,Sci-Fi
HappyZen,All Fours,Miranda July,Fiction,Literary Fiction
HappyZen,Shark Heart A Love Story,Emily Habeck,Fiction,Literary Fiction
HappyZen,Sky Daddy,Kate Folk,Fiction,Literary Fiction
HappyZen,Heart The Lover,Lily King,Fiction,Literary Fiction
HappyZen,The Guest,Emma Cline,Fiction,Literary Fiction
HappyZen,The Wedding People,Allison Espach,Fiction,Literary Fiction
HappyZen,Husbands,Holly Gramazio,Fiction,Literary Fiction
HappyZen,The Secret History,Donna Tartt,Non-Fiction,History
HappyZen,Fruit of the Dead,Rachel Lyon,Fiction,Literary Fiction
HappyZen,Normal People,Sally Rooney,Fiction,Literary Fiction
HappyZen,Comfort Me With Apples,Catherynne Valente,Fiction,Literary Fiction
HappyZen,Go as a River,Shelly Read,Fiction,Literary Fiction
HappyZen,Wild Dark Shore,Charlotte McConaghy,Fiction,Literary Fiction
HappyZen,Kitchen,Banana Yoshimoto,Fiction,Literary Fiction
